name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
94-AL1/15-ST1A,50.0,0.306,0.3298672286269283,11.15,350.0,overhead,145.27,custom
122-AL1/20-ST1A,50.0,0.2376,0.3204424506661589,11.45,410.0,overhead,188.69,custom
149-AL1/24-ST1A,50.0,0.19399999999999998,0.3141592653589793,11.68,470.0,overhead,229.66,custom
184-AL1/30-ST1A,50.0,0.1571,0.3078760800517998,11.95,535.0,overhead,283.53,custom
243-AL1/39-ST1A,50.0,0.1188,0.2984513020910304,12.31,645.0,overhead,373.25,custom
15-AL1/3-ST1A,50.0,1.8769,0.4084070449666731,8.9,105.0,overhead,22.9,custom
24-AL1/4-ST1A,50.0,1.2012,0.3926990816987242,9.24,140.0,overhead,36.32,custom
34-AL1/6-ST1A,50.0,0.8342,0.3832743037379548,9.52,170.0,overhead,51.53,custom
48-AL1/8-ST1A,50.0,0.5939,0.3738495257771854,9.8,210.0,overhead,72.38,custom
70-AL1/11-ST1A,50.0,0.4132,0.36128315516282616,10.16,290.0,overhead,107.51,custom
94-AL1/15-ST1A,50.0,0.306,0.35185837720205687,10.44,350.0,overhead,145.27,custom
122-AL1/20-ST1A,50.0,0.2376,0.34243359924128747,10.71,410.0,overhead,188.69,custom
149-AL1/24-ST1A,50.0,0.19399999999999998,0.33615041393410794,10.91,470.0,overhead,229.66,custom
184-AL1/30-ST1A,50.0,0.1571,0.3298672286269283,11.14,535.0,overhead,283.53,custom
243-AL1/39-ST1A,50.0,0.1188,0.3204424506661589,11.46,645.0,overhead,373.25,custom
15-AL1/3-ST1A,50.0,1.8769,0.4241150082346221,8.56,105.0,overhead,22.9,custom
24-AL1/4-ST1A,50.0,1.2012,0.4084070449666731,8.87,140.0,overhead,36.32,custom
34-AL1/6-ST1A,50.0,0.8342,0.3989822670059037,9.12,170.0,overhead,51.53,custom
48-AL1/8-ST1A,50.0,0.5939,0.3895574890451344,9.39,210.0,overhead,72.38,custom
70-AL1/11-ST1A,50.0,0.4132,0.3769911184307752,9.71,290.0,overhead,107.51,custom
